Ананасовый нектар;0.1;0;12.9;54
Ананасовый сок;0.3;0.1;11.4;48
Антрекот;27.3;31.2;1.7;396
Анчоус атлантический;20.1;6.1;;135
Апельсин;0.9;0.2;8.1;36
Апельсиновый нектар;0.3;0;10.1;43
Апельсиновый сок;0.9;0.2;8.1;36
Арахис;26.3;45.2;9.9;551
Арахис сушеный;29.2;50.2;10.8;611
Арбуз;0.6;0.1;5.8;25
Арбуз консервированный;0.5;0.1;9;37
Артишок;1.2;0.1;6;28
Ассорти из фасоли с ананасами в соусе Карри;3.8;1.1;9.3;62
Ассорти из цветной капусты. романеско и брокколи;1.8;2.7;8.6;66
Ацидофилин 0.1%;3;0.1;3.9;31
Ацидофилин 1%;3;1;4;40
Ацидофилин 3.2%;2.8;3.2;3.8;57
Ацидофилин 3.2% сладкий;2.8;3.2;8.6;77
Базилик свежий;2.5;0.6;4.3;27
Базилик сушеный;14.4;4;61;251
Баклажан;1.2;0.1;7.1;24
Баклажанная икра;0.6;7;6;90
Баклажанная икра консервированная;1.7;13.3;5.1;148
Баклажаны по-корейски;0;9;6.5;109
Баклажаны фаршированные;1.5;6.1;7.3;79
Бамбук побеги вареные;1.5;0.2;0.9;12
Бамбук побеги консервированные;1.7;0.4;1.8;19
Бамбук побеги сырые;2.6;0.3;3;7
Банан;1.5;0.1;21.8;89
Бананы сушёные;3.9;1.8;80.5;390
Бараний фарш;17;23;0;282
Баранина (лопатка);15.6;25;0;284
Баранина (окорок);18;18;0;232
Баранина (печень);18.7;2.9;0;101
Баранина (почки);13.6;2.5;0;77
Баранина (сердце);13.5;2.5;0;82
Баранина (язык);12.6;16.1;0;195
Баранина вареная;24.6;21.4;0;291
Баранина жареная;20;24;0;320
Баранина тушеная;20;20.9;0;268
Баранки;16;1;70;336
Барбарис;0;0;7.9;29
Баренцев Анчоус солёно-сушёный;49;7;0;259
Баренцев Кальмар кольца;53;2;3;242
Баренцев Кальмар копчёный;53;2;3;242
Баренцев Кальмар солёно-сушёный;62;2;5;286
Баренцев Креветка со специями;36;4;3;192
Баренцев Окинэль ломтики филе;50.7;8.6;0;280
Баренцев Окинэль с перцем;50.7;8.6;0;280
Баренцев Соломка рыбная оригинальная;46;3;5;231
